,K,n,s,exp,det,rot,roc,cen
0,172.6401274,-1.188109345,0.117200728,모든 화약,모든 뇌관,변성암,규장암,선대구경
0,95.9392922,-1.168706426,0.312851705,모든 화약,모든 뇌관,변성암,규장암,수직구
0,-68.82028305,-0.864752447,0.180062053,모든 화약,모든 뇌관,변성암,사암,모든 심발
0,-90.35013836,-0.855917948,-0.014040406,모든 화약,모든 뇌관,변성암,사암,Cylinder-cut
0,91.51954885,-0.988272903,0.404018318,모든 화약,모든 뇌관,변성암,사암,TBM 선굴착
0,283.2188395,-1.69604511,0.02215531,모든 화약,모든 뇌관,변성암,사암,V-CUT
0,505.203551,-1.915758349,-0.410124158,모든 화약,모든 뇌관,변성암,사암,라인 드릴링
0,499.0195742,-1.689416044,-0.406957895,모든 화약,모든 뇌관,변성암,사암,분착식 다단발파
0,356.7187372,-1.315456979,0.12181132,모든 화약,모든 뇌관,변성암,사암,선대구경
0,202.6846954,-1.117090731,0.394407851,모든 화약,모든 뇌관,변성암,사암,수직구
0,-176.6391896,-0.723668427,0.181263409,모든 화약,모든 뇌관,변성암,석회암,모든 심발
0,-160.8282108,-0.462629051,0.096765454,모든 화약,모든 뇌관,변성암,석회암,Cylinder-cut
0,64.37643039,-0.778366235,0.276723564,모든 화약,모든 뇌관,변성암,석회암,TBM 선굴착
0,326.6886184,-1.875054307,-0.058005995,모든 화약,모든 뇌관,변성암,석회암,V-CUT
0,555.7017339,-2.061143462,-0.43787852,모든 화약,모든 뇌관,변성암,석회암,라인 드릴링
0,632.9735961,-1.931470867,-0.532496975,모든 화약,모든 뇌관,변성암,석회암,분착식 다단발파
0,560.0340084,-1.652716016,-0.00962519,모든 화약,모든 뇌관,변성암,석회암,선대구경
0,396.181716,-1.318421321,0.332266389,모든 화약,모든 뇌관,변성암,석회암,수직구
0,-501.081179,-0.389702084,0.091195609,모든 화약,모든 뇌관,변성암,섬록암,모든 심발
0,-479.4025933,0.20446992,0.129164769,모든 화약,모든 뇌관,변성암,섬록암,Cylinder-cut
0,-220.2007132,-0.081471219,0.175614376,모든 화약,모든 뇌관,변성암,섬록암,TBM 선굴착
0,140.4413926,-1.237036907,-0.075940446,모든 화약,모든 뇌관,변성암,섬록암,V-CUT
