화약,지발당장약량,뇌관,암석분류,암종,이격거리,심발,SR SD,CR SD,최대입자속도
에멀젼C,0.5,비전기,변성암,편마암,101.8,V-CUT,143.97,128.26,0.04
에멀젼C,0.5,비전기,변성암,편마암,101.9,V-CUT,144.11,128.39,0.037
에멀젼C,0.5,비전기,변성암,편마암,100.1,V-CUT,141.56,126.12,0.034
에멀젼C,0.5,비전기,변성암,편마암,103.3,V-CUT,146.09,130.15,0.032
에멀젼C,0.5,비전기,변성암,편마암,102.9,V-CUT,145.52,129.65,0.031
에멀젼C,0.25,비전기,변성암,편마암,60.1,V-CUT,120.2,95.4,0.098
에멀젼C,0.375,비전기,변성암,편마암,60.3,V-CUT,98.47,83.62,0.077
에멀젼C,0.375,비전기,변성암,편마암,54.8,V-CUT,89.49,75.99,0.109
에멀젼C,0.375,비전기,변성암,편마암,61.9,V-CUT,101.08,85.84,0.077
에멀젼C,0.375,비전기,변성암,편마암,52.4,V-CUT,85.57,72.66,0.111
에멀젼C,0.25,비전기,변성암,편마암,86.8,V-CUT,173.6,137.79,0.033
에멀젼C,0.25,비전기,변성암,편마암,87.4,V-CUT,174.8,138.74,0.035
에멀젼C,0.375,비전기,변성암,편마암,81.3,V-CUT,132.76,112.74,0.045
에멀젼C,0.375,비전기,변성암,편마암,89.2,V-CUT,145.66,123.7,0.034
에멀젼C,0.375,비전기,변성암,편마암,90,V-CUT,146.97,124.81,0.034
에멀젼C,0.25,비전기,변성암,편마암,112.9,V-CUT,225.8,179.22,0.011
에멀젼C,0.25,비전기,변성암,편마암,114.4,V-CUT,228.8,181.6,0.01
에멀젼C,0.375,비전기,변성암,편마암,114,V-CUT,186.16,158.09,0.009
에멀젼C,0.25,비전기,변성암,편마암,116.6,V-CUT,233.2,185.09,0.009
에멀젼C,0.375,비전기,변성암,편마암,111.6,V-CUT,182.24,154.76,0.013
에멀젼C,0.25,비전기,변성암,편마암,84.1,V-CUT,168.2,133.5,0.028
에멀젼C,0.25,비전기,변성암,편마암,85.2,V-CUT,170.4,135.25,0.029
에멀젼C,0.375,비전기,변성암,편마암,81.6,V-CUT,133.25,113.16,0.029
에멀젼C,0.25,비전기,변성암,편마암,83.9,V-CUT,167.8,133.18,0.026
에멀젼C,0.375,비전기,변성암,편마암,84,V-CUT,137.17,116.48,0.026
에멀젼C,0.25,비전기,변성암,편마암,108.2,V-CUT,216.4,171.76,0.008
에멀젼C,0.25,비전기,변성암,편마암,104.9,V-CUT,209.8,166.52,0.008
에멀젼C,0.375,비전기,변성암,편마암,106.2,V-CUT,173.42,147.27,0.013
에멀젼C,0.375,비전기,변성암,편마암,110.1,V-CUT,179.79,152.68,0.008
에멀젼C,0.375,비전기,변성암,편마암,110.9,V-CUT,181.1,153.79,0.008
