,File Name,K,n,s,# of elem
738,tun_0_a_a_0_2.csv,319.9160928371922,-1.7611566766663234,0.1697811787562755,35
743,tun_0_a_a_0_a.csv,319.9160928371922,-1.7611566766663234,0.1697811787562755,35
744,tun_0_a_a_10_0.csv,48.857743703417285,-1.483751285213735,0.34398009297283605,379
745,tun_0_a_a_10_1.csv,4.055195058714264,-0.7406635626491397,0.9880178725085688,59
746,tun_0_a_a_10_2.csv,33.708134215158616,-1.434771564471626,0.40066894465061237,135
749,tun_0_a_a_10_5.csv,139.15424721096753,-1.6625008894194484,0.34833972041695965,158
750,tun_0_a_a_10_6.csv,1.2166256994925708,-0.48705405818911623,0.6149343828466403,135
751,tun_0_a_a_10_a.csv,34.72317600891811,-1.4015215493950066,0.43932448702200433,866
754,tun_0_a_a_1_2.csv,243.08895006247172,-1.8997275457797322,0.1437118374892944,67
759,tun_0_a_a_1_a.csv,243.08895006247172,-1.8997275457797322,0.1437118374892944,67
760,tun_0_a_a_2_0.csv,74.81257466852736,-1.6992020797634442,0.29470062185214374,21
767,tun_0_a_a_2_a.csv,74.81257466852736,-1.6992020797634442,0.29470062185214374,21
768,tun_0_a_a_3_0.csv,171.89580477887733,-1.7195625861553572,0.30882601965910444,70
773,tun_0_a_a_3_5.csv,418.6244939369185,-1.8989247564962288,0.2572350228769374,47
775,tun_0_a_a_3_a.csv,260.9214230342427,-1.8038586915987973,0.2869846568695734,117
778,tun_0_a_a_4_2.csv,182.54901608990048,-1.7289930527528108,0.22123830300052866,35
783,tun_0_a_a_4_a.csv,182.54901608990048,-1.7289930527528108,0.22123830300052866,35
784,tun_0_a_a_5_0.csv,54.8921347974666,-1.4449203139287066,0.319161113381361,84
786,tun_0_a_a_5_2.csv,101.77973475868876,-1.5705374302514923,0.2052673896998289,171
789,tun_0_a_a_5_5.csv,418.0315084081909,-1.8978615054955292,0.20410467761715204,100
791,tun_0_a_a_5_a.csv,112.30960030083227,-1.5966183344969984,0.24351583718901362,355
794,tun_0_a_a_6_2.csv,34.013254637792414,-1.4701377793498664,0.1992839393775851,65
799,tun_0_a_a_6_a.csv,34.013254637792414,-1.4701377793498664,0.1992839393775851,65
800,tun_0_a_a_7_0.csv,6.372877366091371,-1.0947780240608698,0.2693284099447138,107
802,tun_0_a_a_7_2.csv,68.65992211078631,-1.5717103163323016,0.3388750552727056,594
805,tun_0_a_a_7_5.csv,28.851618182973848,-1.278275824368852,0.34591574979998996,82
807,tun_0_a_a_7_a.csv,42.70261880076157,-1.460273591246462,0.3588515017011962,783
