뇌관,암종,SR SD,CR SD,최대입자속도
비전기,편마암,232.5,183.28,0.03
비전기,편마암,229.23,180.71,0.037000000000000005
비전기,편마암,228.62,180.22,0.034
비전기,편마암,233.11,183.76,0.031
비전기,편마암,228.62,180.22,0.053
비전기,편마암,204.33,161.08,0.047
비전기,편마암,201.06,158.5,0.06
비전기,편마암,204.12,160.91,0.044000000000000004
비전기,편마암,204.94,161.56,0.055
비전기,편마암,200.45,158.02,0.065
비전기,편마암,231.23,204.6,0.018000000000000002
비전기,편마암,231.66,204.99,0.012
비전기,편마암,232.24,205.5,0.015
비전기,편마암,230.22,203.71,0.023
비전기,편마암,324.56,255.85,0.019
비전기,편마암,308.74,273.19,0.022000000000000002
비전기,편마암,437.44,344.84,0.019
비전기,편마암,438.25,345.48,0.019
비전기,편마암,439.07,346.13,0.018000000000000002
비전기,편마암,440.09,346.93,0.018000000000000002
비전기,편마암,470.51,370.91,0.006
비전기,편마암,470.71,371.07,0.005
비전기,편마암,469.28,369.94,0.006999999999999999
비전기,편마암,470.51,370.91,0.006
비전기,편마암,468.26,369.14,0.005
비전기,편마암,53.68,42.32,0.49200000000000005
비전기,편마암,53.48,42.16,0.502
비전기,편마암,51.44,40.55,0.47200000000000003
비전기,편마암,48.79,38.46,0.46
비전기,편마암,47.97,37.82,0.511
비전기,편마암,102.67,80.94,0.19399999999999998
비전기,편마암,102.06,80.46,0.204
비전기,편마암,100.84,79.49,0.17600000000000002
비전기,편마암,100.63,79.33,0.171
비전기,편마암,97.57,76.92,0.18100000000000002
비전기,편마암,155.34,122.46,0.07400000000000001
비전기,편마암,155.95,122.94,0.07200000000000001
비전기,편마암,151.05,119.08,0.102
비전기,편마암,149.83,118.11,0.07
비전기,편마암,148.6,117.15,0.085
비전기,편마암,361.25,266.17,0.016
비전기,편마암,357.5,263.41,0.013999999999999999
비전기,편마암,313.4,240.66,0.017
비전기,편마암,312.52,239.98,0.017
비전기,편마암,312.52,239.98,0.02
비전기,편마암,108.25,79.76,0.040999999999999995
비전기,편마암,110.75,81.6,0.039
비전기,편마암,109.25,80.5,0.036000000000000004
비전기,편마암,95.63,73.44,0.036000000000000004
비전기,편마암,89.01,68.35,0.044000000000000004
비전기,편마암,13.5,9.95,1.236
비전기,편마암,10.41,8.21,1.795
비전기,편마암,13.75,10.13,1.579
비전기,편마암,12.37,9.5,1.122
비전기,편마암,10.82,8.31,1.3780000000000001
비전기,편마암,87.25,64.29,0.057
비전기,편마암,95.5,70.37,0.055999999999999994
비전기,편마암,76.64,58.85,0.078
비전기,편마암,80.17,61.56,0.087
비전기,편마암,82.6,63.43,0.07
비전기,편마암,123.75,91.18,0.044000000000000004
비전기,편마암,120.5,88.79,0.045
비전기,편마암,124.0,91.36,0.040999999999999995
비전기,편마암,123.25,90.81,0.055999999999999994
비전기,편마암,115.51,88.7,0.061
비전기,편마암,162.0,119.36,0.055
비전기,편마암,164.0,120.84,0.049
비전기,편마암,161.5,118.99,0.045
비전기,편마암,146.21,112.27,0.044000000000000004
비전기,편마암,149.3,114.65,0.04
비전기,편마암,139.1,160.96,0.024
비전기,편마암,128.19,152.19,0.043
비전기,편마암,128.79,152.9,0.036000000000000004
비전기,편마암,128.55,152.61,0.04
비전기,편마암,128.49,152.54,0.03
비전기,편마암,180.78,214.62,0.018000000000000002
비전기,편마암,181.02,214.91,0.017
비전기,편마암,181.85,215.9,0.011000000000000001
비전기,편마암,180.3,214.05,0.019
비전기,편마암,181.38,215.33,0.012
비전기,편마암,37.35,44.34,0.526
비전기,편마암,38.37,45.55,0.36200000000000004
비전기,편마암,38.13,45.27,0.419
비전기,편마암,37.83,44.91,0.48
비전기,편마암,36.81,43.7,0.33
비전기,편마암,50.08,59.46,0.369
비전기,편마암,50.32,59.74,0.27899999999999997
비전기,편마암,49.78,59.1,0.37799999999999995
비전기,편마암,49.6,58.89,0.245
비전기,편마암,49.0,58.18,0.266
비전기,편마암,129.02,153.18,0.034
비전기,편마암,130.04,154.39,0.032
비전기,편마암,128.55,152.61,0.045
비전기,편마암,132.07,156.8,0.02
비전기,편마암,131.48,156.09,0.031
비전기,편마암,148.53,171.86,0.02
비전기,편마암,148.4,171.71,0.021
비전기,편마암,139.42,165.52,0.03
비전기,편마암,139.84,166.02,0.025
비전기,편마암,138.95,164.96,0.034
비전기,편마암,92.16,122.82,0.067
비전기,편마암,91.87,122.42,0.042
비전기,편마암,91.57,122.03,0.051
비전기,편마암,91.28,121.63,0.055999999999999994
비전기,편마암,92.88,123.77,0.046
비전기,편마암,129.56,172.65,0.013000000000000001
비전기,편마암,130.79,174.29,0.013999999999999999
비전기,편마암,130.49,173.89,0.017
비전기,편마암,130.15,173.44,0.017
비전기,편마암,131.0,174.57,0.012
비전기,편마암,37.82,50.4,0.28
비전기,편마암,37.57,50.06,0.294
비전기,편마암,37.23,49.61,0.341
비전기,편마암,36.98,49.27,0.345
비전기,편마암,36.85,49.1,0.268
비전기,편마암,93.05,124.0,0.026000000000000002
비전기,편마암,94.15,125.46,0.045
비전기,편마암,93.52,124.62,0.043
비전기,편마암,93.81,125.01,0.04
