암석분류,SR SD,CR SD,최대입자속도
변성암,59.29,80.79,0.109
변성암,50.0,72.11,0.17600000000000002
변성암,50.0,72.11,0.209
변성암,59.29,80.79,0.13699999999999998
변성암,111.8,135.72,0.039
변성암,79.06,107.72,0.067
변성암,66.67,96.15,0.105
변성암,66.67,96.15,0.075
변성암,79.06,107.72,0.096
변성암,88.94,121.19,0.036000000000000004
변성암,75.0,108.17,0.061
변성암,88.94,121.19,0.04
변성암,88.94,121.19,0.054000000000000006
변성암,88.94,121.19,0.042
변성암,98.82,134.65,0.02
변성암,98.82,134.65,0.021
변성암,83.33,120.19,0.076
변성암,98.82,134.65,0.054000000000000006
변성암,98.82,134.65,0.043
변성암,118.59,161.58,0.022000000000000002
변성암,100.0,144.22,0.054000000000000006
변성암,100.0,144.22,0.045
변성암,118.59,161.58,0.033
변성암,118.59,161.58,0.039
변성암,72.2,57.31,0.066
변성암,70.8,56.19,0.062
변성암,69.2,54.92,0.06
변성암,67.8,53.81,0.071
변성암,65.0,51.59,0.07400000000000001
변성암,86.4,68.58,0.028999999999999998
변성암,86.4,68.58,0.042
변성암,85.0,67.46,0.040999999999999995
변성암,83.8,66.51,0.033
변성암,82.6,65.56,0.040999999999999995
변성암,147.0,116.67,0.012
변성암,147.0,116.67,0.017
변성암,147.0,116.67,0.015
변성암,146.2,116.04,0.017
변성암,143.6,113.98,0.016
변성암,136.0,107.94,0.027000000000000003
변성암,136.0,107.94,0.036000000000000004
변성암,134.6,106.83,0.024
변성암,134.6,106.83,0.024
변성암,133.2,105.72,0.026000000000000002
변성암,61.2,48.57,0.065
변성암,59.6,47.3,0.059000000000000004
변성암,59.6,47.3,0.087
변성암,58.0,46.03,0.071
변성암,58.0,46.03,0.071
변성암,68.0,53.97,0.046
변성암,68.0,53.97,0.06
변성암,66.6,52.86,0.047
변성암,65.0,51.59,0.057
변성암,63.6,50.48,0.07200000000000001
변성암,73.54,52.0,0.111
변성암,70.71,50.0,0.076
변성암,67.88,48.0,0.025
변성암,65.05,46.0,0.114
변성암,76.37,54.0,0.059000000000000004
변성암,84.85,60.0,0.055999999999999994
변성암,82.02,58.0,0.046
변성암,79.2,56.0,0.013999999999999999
변성암,76.37,54.0,0.049
변성암,87.68,62.0,0.049
변성암,113.14,80.0,0.040999999999999995
변성암,110.31,78.0,0.032
변성암,107.48,76.0,0.013999999999999999
변성암,104.65,74.0,0.038
변성암,115.97,82.0,0.024
변성암,155.56,110.0,0.037000000000000005
변성암,152.74,108.0,0.022000000000000002
변성암,149.91,106.0,0.013999999999999999
변성암,147.08,104.0,0.019
변성암,183.85,130.0,0.025
변성암,181.02,128.0,0.019
변성암,178.19,126.0,0.011000000000000001
변성암,175.36,124.0,0.018000000000000002
변성암,186.68,132.0,0.018000000000000002
변성암,101.82,72.0,0.043
변성암,98.99,70.0,0.043
변성암,96.17,68.0,0.019
변성암,93.34,66.0,0.049
변성암,104.65,74.0,0.025
변성암,34.0,26.99,0.106
변성암,34.0,26.99,0.10800000000000001
변성암,58.0,46.03,0.24100000000000002
변성암,48.0,38.1,0.179
변성암,128.0,101.59,0.04
변성암,56.0,44.45,0.14
변성암,110.0,87.31,0.045
변성암,60.0,47.62,0.092
변성암,208.0,165.09,0.025
변성암,128.0,101.59,0.043
변성암,17.8,18.47,2.175
변성암,75.76,78.63,0.023
변성암,69.59,72.22,0.054000000000000006
변성암,16.1,16.71,1.9880000000000002
변성암,36.4,37.78,0.24600000000000002
변성암,47.76,49.57,0.132
변성암,76.92,79.84,0.168
변성암,84.61,87.82,0.07200000000000001
변성암,89.8,93.2,0.1
변성암,98.57,102.3,0.059000000000000004
변성암,138.73,143.98,0.042
변성암,91.87,105.16,0.156
변성암,112.51,120.38,0.1
변성암,79.56,95.55,0.2
변성암,79.56,95.55,0.19
변성암,289.61,309.86,0.021
변성암,204.79,245.94,0.04
변성암,236.47,270.69,0.03
변성암,236.47,270.69,0.032
변성암,18.04,20.11,1.5
변성암,18.04,20.11,0.8
변성암,25.52,25.34,0.12
변성암,28.15,31.38,0.35
변성암,28.15,31.38,0.3
변성암,34.47,35.92,0.31
변성암,39.8,39.53,0.1
변성암,35.36,42.17,0.40399999999999997
변성암,38.08,44.07,0.24600000000000002
변성암,48.33,51.36,0.256
변성암,33.76,40.2,0.467
변성암,44.02,49.08,0.368
변성암,41.25,49.2,0.302
변성암,44.54,51.54,0.14800000000000002
변성암,56.67,60.22,0.09699999999999999
변성암,39.69,47.26,0.363
변성암,51.24,57.12,0.263
변성암,47.14,56.23,0.177
변성암,50.99,59.01,0.154
변성암,65.0,69.07,0.16399999999999998
변성암,45.61,54.31,0.154
변성암,58.46,65.17,0.154
변성암,53.03,63.26,0.136
변성암,57.45,66.47,0.091
변성암,73.33,77.93,0.10099999999999999
변성암,51.53,61.36,0.132
변성암,65.67,73.22,0.083
변성암,58.93,70.29,0.079
변성암,63.9,73.94,0.069
변성암,81.67,86.78,0.064
변성암,57.46,68.42,0.087
변성암,72.89,81.26,0.069
변성암,176.78,210.86,0.032
변성암,193.0,223.32,0.038
변성암,248.33,263.89,0.024
변성암,175.93,209.48,0.044000000000000004
변성암,217.23,242.18,0.02
변성암,63.3,66.38,0.13699999999999998
변성암,71.1,74.56,0.1
변성암,66.77,70.02,0.12
변성암,68.5,71.84,0.1
변성암,62.43,65.47,0.12
변성암,64.17,67.29,0.12
변성암,65.9,69.11,0.1
변성암,63.3,66.38,0.1
변성암,60.7,63.65,0.1
변성암,58.96,61.83,0.12
변성암,52.03,54.56,0.15
변성암,56.36,59.11,0.1
변성암,73.7,77.29,0.15
변성암,71.1,74.56,0.15
변성암,65.03,68.2,0.12
변성암,65.9,69.11,0.15
변성암,66.77,70.02,0.12
변성암,52.89,55.47,0.102
변성암,52.03,54.56,0.1
변성암,52.03,54.56,0.12
변성암,58.96,61.83,0.12
변성암,62.43,65.47,0.1
변성암,56.36,59.11,0.1
변성암,52.89,55.47,0.1
변성암,35.8,34.12,0.162
변성암,33.49,31.92,0.09
변성암,48.5,46.23,0.1
변성암,40.41,38.52,0.1
변성암,40.41,38.52,0.07
변성암,34.64,33.02,0.07
변성암,16.17,19.41,0.16
변성암,17.32,20.8,0.10800000000000001
변성암,23.09,27.73,0.1
변성암,19.05,22.88,0.15
변성암,23.67,28.43,0.05
변성암,27.0,27.0,0.27
변성암,32.0,32.0,0.1
변성암,31.0,31.0,0.07
변성암,32.0,32.0,0.1
변성암,30.0,30.0,0.12
변성암,32.0,32.0,0.067
변성암,34.0,34.0,0.1
변성암,27.0,27.0,0.1
변성암,33.49,31.92,0.162
변성암,35.8,34.12,0.121
변성암,50.81,48.43,0.1
변성암,41.57,39.62,0.1
변성암,42.72,40.72,0.1
변성암,35.8,34.12,0.1
변성암,38.11,36.32,0.12
변성암,43.88,41.82,0.12
변성암,20.78,24.96,0.10800000000000001
변성암,24.83,29.81,0.1
변성암,20.78,24.96,0.1
변성암,20.78,24.96,0.1
변성암,17.32,20.8,0.12
변성암,18.48,22.19,0.07
변성암,21.94,26.35,0.12
변성암,32.91,31.37,0.5
변성암,40.41,38.52,0.3
변성암,36.37,34.67,0.4
변성암,34.64,33.02,0.22
변성암,32.1,30.6,1.143
변성암,28.87,27.52,0.7190000000000001
변성암,33.49,31.92,0.22
변성암,32.56,31.04,0.17
변성암,30.02,28.62,0.3
변성암,26.56,25.31,0.33
변성암,26.79,25.53,0.344
변성암,26.1,24.87,0.546
변성암,32.33,30.82,0.38
변성암,39.84,37.97,0.17
변성암,35.8,34.12,0.27
변성암,34.06,32.47,0.22
변성암,30.02,28.62,0.53
변성암,45.03,42.93,0.1
변성암,35.8,34.12,0.35
변성암,40.41,38.52,0.68
변성암,32.91,31.37,0.4
변성암,37.41,35.66,0.38
변성암,40.76,38.85,0.27
변성암,28.87,27.52,0.764
변성암,31.18,29.72,0.721
변성암,32.91,31.37,0.22
변성암,32.33,30.82,0.12
변성암,29.44,28.07,0.3
변성암,27.14,25.87,0.43
변성암,25.4,24.21,0.5
변성암,41.34,39.4,0.3
