화약,암석분류,심발,SR SD,CR SD,최대입자속도
에멀젼C,화성암,Cylinder-cut,353.34,267.32,0.024
에멀젼C,화성암,Cylinder-cut,357.96,270.81,0.003
에멀젼C,화성암,Cylinder-cut,607.37,459.5,0.004
에멀젼C,화성암,Cylinder-cut,605.06,457.76,0.006
에멀젼C,화성암,Cylinder-cut,609.68,461.25,0.006999999999999999
에멀젼C,화성암,Cylinder-cut,25.5,18.79,0.34299999999999997
에멀젼C,화성암,Cylinder-cut,30.0,22.1,0.152
에멀젼C,화성암,Cylinder-cut,35.0,25.79,0.34299999999999997
에멀젼C,화성암,Cylinder-cut,40.0,29.47,0.22899999999999998
에멀젼C,화성암,Cylinder-cut,101.25,74.6,0.064
에멀젼C,화성암,Cylinder-cut,102.5,75.52,0.439
에멀젼C,화성암,Cylinder-cut,150.0,110.52,0.016
에멀젼C,화성암,Cylinder-cut,147.5,108.68,0.048
에멀젼C,화성암,Cylinder-cut,152.5,112.36,0.03
에멀젼C,화성암,Cylinder-cut,175.0,128.94,0.021
에멀젼C,화성암,Cylinder-cut,172.5,127.1,0.037000000000000005
에멀젼C,화성암,Cylinder-cut,177.5,130.78,0.024
에멀젼C,화성암,Cylinder-cut,200.0,147.36,0.022000000000000002
에멀젼C,화성암,Cylinder-cut,197.5,145.52,0.033
에멀젼C,화성암,Cylinder-cut,202.5,149.2,0.019
에멀젼C,화성암,Cylinder-cut,222.5,163.94,0.032
에멀젼C,화성암,Cylinder-cut,227.5,167.62,0.022000000000000002
에멀젼C,화성암,Cylinder-cut,164.24,158.24,0.021
에멀젼C,화성암,Cylinder-cut,169.63,161.68,0.022000000000000002
에멀젼C,화성암,Cylinder-cut,134.1,138.24,0.027999999999999997
에멀젼C,화성암,Cylinder-cut,207.17,199.61,0.022000000000000002
에멀젼C,화성암,Cylinder-cut,206.72,199.18,0.023
에멀젼C,화성암,Cylinder-cut,213.97,203.95,0.021
에멀젼C,화성암,Cylinder-cut,98.15,93.55,0.182
에멀젼C,화성암,Cylinder-cut,98.15,93.55,0.157
에멀젼C,화성암,Cylinder-cut,77.59,79.99,0.223
에멀젼C,화성암,Cylinder-cut,127.02,121.07,0.094
에멀젼C,화성암,Cylinder-cut,122.98,118.49,0.07
에멀젼C,화성암,Cylinder-cut,127.02,121.07,0.06
에멀젼C,화성암,Cylinder-cut,151.05,145.53,0.031
에멀젼C,화성암,Cylinder-cut,151.05,145.53,0.037000000000000005
에멀젼C,화성암,Cylinder-cut,156.0,148.7,0.024
에멀젼C,화성암,Cylinder-cut,179.11,172.57,0.028999999999999998
에멀젼C,화성암,Cylinder-cut,184.98,176.32,0.017
에멀젼C,화성암,Cylinder-cut,184.98,176.32,0.013999999999999999
에멀젼C,화성암,Cylinder-cut,206.95,199.39,0.016
에멀젼C,화성암,Cylinder-cut,206.95,199.39,0.015
에멀젼C,화성암,Cylinder-cut,213.74,203.73,0.016
에멀젼C,화성암,Cylinder-cut,242.6,231.24,0.015
에멀젼C,화성암,Cylinder-cut,234.9,226.32,0.019
에멀젼C,화성암,Cylinder-cut,242.6,231.24,0.016
에멀젼C,화성암,Cylinder-cut,163.79,157.81,0.021
에멀젼C,화성암,Cylinder-cut,169.16,161.24,0.015
에멀젼C,화성암,Cylinder-cut,169.16,161.24,0.012
에멀젼C,화성암,Cylinder-cut,208.29,200.69,0.021
에멀젼C,화성암,Cylinder-cut,208.29,200.69,0.019
에멀젼C,화성암,Cylinder-cut,215.12,205.05,0.019
에멀젼C,화성암,Cylinder-cut,78.51,80.93,0.213
에멀젼C,화성암,Cylinder-cut,96.15,92.64,0.18899999999999997
에멀젼C,화성암,Cylinder-cut,99.3,94.66,0.175
에멀젼C,화성암,Cylinder-cut,124.1,119.57,0.061
에멀젼C,화성암,Cylinder-cut,124.1,119.57,0.069
에멀젼C,화성암,Cylinder-cut,101.33,104.45,0.091
에멀젼C,화성암,Cylinder-cut,42.49,32.49,0.337
에멀젼C,화성암,Cylinder-cut,46.96,35.91,0.091
에멀젼C,화성암,Cylinder-cut,55.9,42.75,0.09699999999999999
에멀젼C,화성암,Cylinder-cut,53.67,41.04,0.09699999999999999
에멀젼C,화성암,Cylinder-cut,58.14,44.46,0.011000000000000001
에멀젼C,화성암,Cylinder-cut,89.44,68.4,0.040999999999999995
에멀젼C,화성암,Cylinder-cut,87.21,66.69,0.085
에멀젼C,화성암,Cylinder-cut,91.68,70.11,0.012
에멀젼C,화성암,Cylinder-cut,109.57,83.79,0.040999999999999995
에멀젼C,화성암,Cylinder-cut,107.33,82.08,0.054000000000000006
에멀젼C,화성암,Cylinder-cut,111.8,85.5,0.026000000000000002
에멀젼C,화성암,Cylinder-cut,114.04,87.21,0.038
에멀젼C,화성암,Cylinder-cut,111.8,85.5,0.049
에멀젼C,화성암,Cylinder-cut,116.28,88.92,0.017
에멀젼C,화성암,Cylinder-cut,111.8,85.5,0.045
에멀젼C,화성암,Cylinder-cut,109.57,83.79,0.049
에멀젼C,화성암,Cylinder-cut,114.04,87.21,0.021
에멀젼C,화성암,Cylinder-cut,134.16,102.6,0.035
에멀젼C,화성암,Cylinder-cut,131.93,100.89,0.039
에멀젼C,화성암,Cylinder-cut,136.4,104.31,0.009000000000000001
에멀젼C,화성암,Cylinder-cut,156.52,119.7,0.02
에멀젼C,화성암,Cylinder-cut,154.29,117.99,0.02
에멀젼C,화성암,Cylinder-cut,158.76,121.41,0.004
에멀젼C,화성암,Cylinder-cut,178.89,136.8,0.018000000000000002
에멀젼C,화성암,Cylinder-cut,176.65,135.09,0.018000000000000002
에멀젼C,화성암,Cylinder-cut,181.12,138.51,0.002
에멀젼C,화성암,Cylinder-cut,223.61,171.0,0.013999999999999999
에멀젼C,화성암,Cylinder-cut,221.37,169.29,0.019
에멀젼C,화성암,Cylinder-cut,225.84,172.71,0.005
에멀젼C,화성암,Cylinder-cut,50.0,36.84,0.225
에멀젼C,화성암,Cylinder-cut,47.5,35.0,0.43700000000000006
에멀젼C,화성암,Cylinder-cut,52.5,38.68,0.289
에멀젼C,화성암,Cylinder-cut,75.0,55.26,0.071
에멀젼C,화성암,Cylinder-cut,72.5,53.42,0.121
