화약,뇌관,SR SD,CR SD,최대입자속도
에멀젼C,비전기,139.42,165.52,0.03
에멀젼C,비전기,139.84,166.02,0.025
에멀젼C,비전기,138.95,164.96,0.034
에멀젼C,비전기,92.16,122.82,0.067
에멀젼C,비전기,91.87,122.42,0.042
에멀젼C,비전기,91.57,122.03,0.051
에멀젼C,비전기,91.28,121.63,0.055999999999999994
에멀젼C,비전기,92.88,123.77,0.046
에멀젼C,비전기,129.56,172.65,0.013000000000000001
에멀젼C,비전기,130.79,174.29,0.013999999999999999
에멀젼C,비전기,130.49,173.89,0.017
에멀젼C,비전기,130.15,173.44,0.017
에멀젼C,비전기,131.0,174.57,0.012
에멀젼C,비전기,37.82,50.4,0.28
에멀젼C,비전기,37.57,50.06,0.294
에멀젼C,비전기,37.23,49.61,0.341
에멀젼C,비전기,36.98,49.27,0.345
에멀젼C,비전기,36.85,49.1,0.268
에멀젼C,비전기,93.05,124.0,0.026000000000000002
에멀젼C,비전기,94.15,125.46,0.045
에멀젼C,비전기,93.52,124.62,0.043
에멀젼C,비전기,93.81,125.01,0.04
에멀젼C,비전기,93.43,124.51,0.038
에멀젼C,비전기,100.4,133.8,0.021
에멀젼C,비전기,99.69,132.84,0.032
에멀젼C,비전기,99.39,132.45,0.027000000000000003
에멀젼C,비전기,100.07,133.35,0.021
에멀젼C,비전기,100.32,133.69,0.013999999999999999
에멀젼C,비전기,107.97,143.88,0.023
에멀젼C,비전기,108.01,143.93,0.019
에멀젼C,비전기,107.84,143.71,0.017
에멀젼C,비전기,107.21,142.86,0.025
에멀젼C,비전기,107.55,143.32,0.022000000000000002
에멀젼C,비전기,407.01,362.61,0.003
에멀젼C,비전기,397.39,354.04,0.004
에멀젼C,비전기,412.38,367.39,0.005
에멀젼C,비전기,337.4,321.61,0.004
에멀젼C,비전기,323.09,307.96,0.006999999999999999
에멀젼C,비전기,415.61,363.82,0.006999999999999999
에멀젼C,비전기,471.22,419.81,0.004
에멀젼C,비전기,472.49,420.94,0.003
에멀젼C,비전기,376.43,358.81,0.004
에멀젼C,비전기,375.16,357.6,0.004
에멀젼C,비전기,409.33,383.38,0.004
에멀젼C,비전기,504.16,441.34,0.003
에멀젼C,비전기,59.7,56.9,0.105
에멀젼C,비전기,72.27,64.38,0.10099999999999999
에멀젼C,비전기,63.5,56.57,0.11699999999999999
에멀젼C,비전기,51.04,48.65,0.16399999999999998
에멀젼C,비전기,50.46,48.1,0.16
에멀젼C,비전기,54.77,51.3,0.14400000000000002
에멀젼C,비전기,111.58,99.41,0.025
에멀젼C,비전기,115.97,103.31,0.024
에멀젼C,비전기,112.43,100.16,0.031
에멀젼C,비전기,94.8,90.36,0.025
에멀젼C,비전기,85.68,81.67,0.031
에멀젼C,비전기,96.89,90.74,0.027999999999999997
에멀젼C,비전기,136.2,127.56,0.013000000000000001
에멀젼C,비전기,136.32,127.68,0.02
에멀젼C,비전기,138.51,129.73,0.012
에멀젼C,비전기,140.7,131.78,0.011000000000000001
에멀젼C,비전기,175.01,153.2,0.009000000000000001
에멀젼C,비전기,175.16,153.33,0.008
에멀젼C,비전기,198.91,215.11,0.024
에멀젼C,비전기,114.57,148.8,0.042
에멀젼C,비전기,114.38,148.56,0.047
에멀젼C,비전기,178.05,199.85,0.027000000000000003
에멀젼C,비전기,125.4,157.99,0.027999999999999997
에멀젼C,비전기,100.59,135.6,0.044000000000000004
에멀젼C,비전기,99.78,134.5,0.055
에멀젼C,비전기,100.96,136.09,0.042
에멀젼C,비전기,124.1,156.36,0.034
에멀젼C,비전기,122.75,154.66,0.045
에멀젼C,비전기,28.3,36.75,0.872
에멀젼C,비전기,28.44,36.93,0.768
에멀젼C,비전기,28.71,37.29,0.581
에멀젼C,비전기,25.64,34.56,0.604
에멀젼C,비전기,31.8,40.07,0.462
에멀젼C,비전기,81.74,88.41,0.124
에멀젼C,비전기,80.95,87.55,0.113
에멀젼C,비전기,47.1,61.18,0.20199999999999999
