뇌관,SR SD,CR SD,최대입자속도
전기,16.44,15.2,1.16
전기,19.6,16.64,1.54
전기,19.3,16.0,0.978
전기,19.8,17.64,1.6
전기,34.15,31.58,0.094
전기,42.46,36.05,0.14300000000000002
전기,43.85,36.36,0.11
전기,39.6,35.28,0.152
전기,50.6,46.78,0.221
전기,63.69,54.08,0.391
전기,66.66,55.27,0.2
전기,57.98,51.66,0.20800000000000002
전기,63.25,58.48,0.251
전기,80.02,67.95,0.314
전기,84.2,69.81,0.24600000000000002
전기,72.12,64.26,0.341
전기,75.89,70.18,0.14800000000000002
전기,96.35,81.82,0.183
전기,101.74,84.36,0.187
전기,86.27,76.86,0.16399999999999998
전기,88.54,81.87,0.825
전기,112.68,95.68,0.10800000000000001
전기,119.28,98.9,0.102
전기,100.41,89.45,0.129
전기,101.19,93.57,0.10800000000000001
전기,129.01,109.55,0.098
전기,136.82,113.45,0.083
전기,114.55,102.05,0.11900000000000001
전기,120.17,111.11,0.023
전기,153.5,130.35,0.012
전기,163.13,135.27,0.011000000000000001
전기,135.76,120.95,0.021
전기,91.87,105.16,0.156
전기,112.51,120.38,0.1
전기,79.56,95.55,0.2
전기,79.56,95.55,0.19
전기,289.61,309.86,0.021
전기,204.79,245.94,0.04
전기,236.47,270.69,0.03
전기,236.47,270.69,0.032
전기,401.58,418.99,0.023
전기,414.37,428.92,0.025
전기,425.7,437.8,0.011000000000000001
전기,427.97,440.44,0.021
전기,425.98,440.15,0.013999999999999999
전기,441.64,451.26,0.013999999999999999
전기,424.67,440.17,0.016
전기,438.54,450.49,0.023
전기,434.42,448.44,0.023
전기,433.8,448.79,0.042
전기,439.08,453.26,0.016
전기,436.66,452.29,0.02
전기,454.42,465.27,0.027999999999999997
전기,428.68,441.9,0.011000000000000001
전기,406.36,456.62,0.012
전기,535.06,549.72,0.011000000000000001
전기,411.65,462.06,0.013000000000000001
전기,437.97,481.93,0.038
전기,499.69,526.48,0.012
전기,424.72,473.09,0.038
전기,505.78,531.59,0.012
전기,475.15,510.49,0.023
전기,425.77,475.74,0.011000000000000001
전기,439.95,487.19,0.012
전기,430.54,481.15,0.024
전기,432.1,484.16,0.013000000000000001
전기,426.45,480.84,0.044000000000000004
전기,470.58,514.44,0.028999999999999998
전기,468.6,513.97,0.028999999999999998
전기,417.94,477.49,0.027000000000000003
전기,421.21,480.37,0.051
전기,440.52,496.51,0.036000000000000004
전기,433.4,491.92,0.024
전기,434.81,493.74,0.043
전기,436.38,495.72,0.012
전기,424.63,487.16,0.016
전기,428.58,490.93,0.012
전기,584.07,605.31,0.013000000000000001
전기,696.19,718.77,0.006999999999999999
전기,698.0,720.63,0.028999999999999998
전기,685.81,712.83,0.035
전기,758.76,765.8,0.006
전기,709.27,733.37,0.006999999999999999
전기,696.54,725.8,0.009000000000000001
전기,698.31,727.64,0.013000000000000001
전기,730.8,751.35,0.028999999999999998
전기,711.83,742.69,0.015
전기,618.5,681.15,0.017
전기,35.93,35.55,0.17
전기,35.93,35.55,0.22
전기,35.93,35.55,0.254
전기,18.04,20.11,1.5
전기,18.04,20.11,0.8
전기,25.52,25.34,0.12
전기,28.15,31.38,0.35
전기,28.15,31.38,0.3
전기,34.47,35.92,0.31
전기,39.8,39.53,0.1
전기,63.3,66.38,0.13699999999999998
전기,71.1,74.56,0.1
전기,66.77,70.02,0.12
전기,68.5,71.84,0.1
전기,62.43,65.47,0.12
전기,64.17,67.29,0.12
전기,65.9,69.11,0.1
전기,63.3,66.38,0.1
전기,60.7,63.65,0.1
전기,58.96,61.83,0.12
전기,52.03,54.56,0.15
전기,56.36,59.11,0.1
전기,84.29,59.6,0.1
전기,62.23,44.0,0.07
전기,79.48,56.2,0.05
전기,84.0,59.4,0.1
전기,80.61,57.0,0.05
전기,84.85,60.0,0.1
전기,59.68,42.2,0.25
전기,82.31,58.2,0.07
전기,80.89,57.2,0.1
전기,83.16,58.8,0.07
전기,69.71,51.68,0.1
전기,54.24,40.21,0.12
전기,66.51,49.31,0.07
전기,65.78,48.76,0.07
전기,67.25,49.86,0.05
전기,69.71,51.68,0.1
전기,66.76,49.49,0.1
전기,67.5,50.04,0.05
전기,67.74,50.22,0.05
전기,69.46,51.49,0.1
전기,68.72,50.95,0.07
전기,68.72,50.95,0.05
전기,68.72,50.95,0.05
전기,52.0,41.27,0.1
전기,51.8,41.11,0.07
전기,52.2,41.43,0.05
전기,52.2,41.43,0.1
전기,44.0,34.92,0.05
전기,52.4,41.59,0.05
전기,78.8,62.54,0.165
전기,76.4,60.64,0.1
전기,32.2,25.56,0.35
전기,30.4,24.13,0.27
전기,65.4,51.91,0.25
전기,58.6,46.51,0.05
전기,53.74,47.88,0.127
전기,51.9,46.24,0.1
전기,21.21,18.9,0.3
전기,22.06,19.65,0.3
전기,44.12,39.31,0.22
전기,53.47,48.58,0.225
전기,22.13,20.11,0.4
전기,18.4,16.72,0.35
전기,40.53,36.83,0.05
전기,82.6,65.56,0.183
전기,78.0,61.91,0.1
전기,26.4,20.95,0.38
전기,68.8,54.61,0.1
전기,61.4,48.73,0.05
전기,64.67,54.91,0.1
전기,27.43,23.3,0.33
전기,20.25,17.2,0.5
전기,55.85,47.43,0.15
전기,51.28,43.54,0.05
전기,75.2,59.69,0.213
전기,72.0,57.15,0.1
전기,25.4,20.16,0.3
전기,25.8,20.48,0.4
전기,90.0,71.43,0.07
전기,57.6,45.72,0.05
전기,60.67,54.05,0.162
전기,58.83,52.41,0.1
전기,26.59,23.69,0.25
전기,18.95,16.88,0.45
전기,71.56,63.75,0.12
전기,46.1,41.07,0.05
전기,47.0,37.3,0.1
전기,23.2,18.41,0.27
전기,32.8,26.03,0.27
전기,16.83,14.99,0.3
전기,20.36,18.14,0.22
전기,24.04,21.42,0.38
전기,40.87,36.41,0.15
전기,44.26,39.44,0.17
전기,28.85,25.7,0.508
전기,23.0,23.46,0.1
전기,11.88,12.11,0.27
전기,16.4,16.73,0.35
전기,26.3,26.83,0.2
전기,19.61,20.0,0.506
전기,13.9,13.9,0.65
전기,16.2,16.2,0.27
전기,18.7,18.7,0.43
전기,29.1,29.1,0.3
전기,32.9,32.9,0.17
전기,22.0,22.0,0.595
