화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,79.69,82.15,0.094
에멀젼C,전기,화성암,79.05,81.49,0.1
에멀젼C,전기,화성암,88.1,88.1,0.08800000000000001
에멀젼C,전기,화성암,29.83,31.55,0.679
에멀젼C,전기,화성암,32.68,33.69,0.6659999999999999
에멀젼C,전기,화성암,30.03,30.96,0.815
에멀젼C,전기,화성암,30.67,31.62,0.6859999999999999
에멀젼C,전기,화성암,34.0,34.0,0.688
에멀젼C,전기,화성암,14.06,14.49,1.6369999999999998
에멀젼C,전기,화성암,13.52,14.3,1.524
에멀젼C,전기,화성암,15.4,15.4,1.768
에멀젼C,전기,화성암,17.0,17.0,1.5319999999999998
에멀젼C,전기,화성암,16.0,16.0,1.695
에멀젼C,전기,화성암,95.18,102.94,0.053
에멀젼C,전기,화성암,110.27,113.68,0.054000000000000006
에멀젼C,전기,화성암,109.18,112.55,0.06
에멀젼C,전기,화성암,118.2,118.2,0.077
에멀젼C,전기,화성암,118.8,118.8,0.062
에멀젼C,전기,화성암,206.18,222.98,0.013999999999999999
에멀젼C,전기,화성암,206.26,223.07,0.013999999999999999
에멀젼C,전기,화성암,206.81,223.66,0.008
에멀젼C,전기,화성암,206.73,223.58,0.009000000000000001
에멀젼C,전기,화성암,241.91,249.37,0.011000000000000001
에멀젼C,전기,화성암,231.95,250.85,0.018000000000000002
에멀젼C,전기,화성암,271.12,279.49,0.016
에멀젼C,전기,화성암,272.58,280.99,0.013000000000000001
에멀젼C,전기,화성암,249.66,264.06,0.018000000000000002
에멀젼C,전기,화성암,297.0,297.0,0.013000000000000001
에멀젼C,전기,화성암,40.62,41.88,0.29100000000000004
에멀젼C,전기,화성암,45.3,45.3,0.23
에멀젼C,전기,화성암,39.8,41.03,0.308
에멀젼C,전기,화성암,38.16,39.34,0.391
에멀젼C,전기,화성암,42.6,42.6,0.322
에멀젼C,전기,화성암,43.19,45.68,0.282
에멀젼C,전기,화성암,46.92,48.37,0.258
에멀젼C,전기,화성암,46.19,47.62,0.316
에멀젼C,전기,화성암,45.46,46.86,0.364
에멀젼C,전기,화성암,57.0,57.0,0.13
에멀젼C,전기,화성암,62.35,64.27,0.136
에멀젼C,전기,화성암,63.72,67.4,0.11599999999999999
에멀젼C,전기,화성암,64.8,64.8,0.191
에멀젼C,전기,화성암,67.5,67.5,0.139
에멀젼C,전기,화성암,65.6,65.6,0.183
에멀젼C,전기,화성암,71.07,76.86,0.135
에멀젼C,전기,화성암,80.52,83.0,0.09699999999999999
에멀젼C,전기,화성암,78.87,81.31,0.149
에멀젼C,전기,화성암,84.8,84.8,0.153
에멀젼C,전기,화성암,85.6,85.6,0.151
에멀젼C,전기,화성암,88.91,94.04,0.125
에멀젼C,전기,화성암,90.77,96.01,0.149
에멀젼C,전기,화성암,96.4,99.37,0.157
에멀젼C,전기,화성암,96.4,99.37,0.172
