뇌관,암석분류,심발,SR SD,CR SD,최대입자속도
전기,화성암,V-CUT,425.7,437.8,0.011000000000000001
전기,화성암,V-CUT,427.97,440.44,0.021
전기,화성암,V-CUT,425.98,440.15,0.013999999999999999
전기,화성암,V-CUT,441.64,451.26,0.013999999999999999
전기,화성암,V-CUT,424.67,440.17,0.016
전기,화성암,V-CUT,438.54,450.49,0.023
전기,화성암,V-CUT,434.42,448.44,0.023
전기,화성암,V-CUT,433.8,448.79,0.042
전기,화성암,V-CUT,439.08,453.26,0.016
전기,화성암,V-CUT,436.66,452.29,0.02
전기,화성암,V-CUT,454.42,465.27,0.027999999999999997
전기,화성암,V-CUT,428.68,441.9,0.011000000000000001
전기,화성암,V-CUT,406.36,456.62,0.012
전기,화성암,V-CUT,535.06,549.72,0.011000000000000001
전기,화성암,V-CUT,411.65,462.06,0.013000000000000001
전기,화성암,V-CUT,437.97,481.93,0.038
전기,화성암,V-CUT,499.69,526.48,0.012
전기,화성암,V-CUT,424.72,473.09,0.038
전기,화성암,V-CUT,505.78,531.59,0.012
전기,화성암,V-CUT,475.15,510.49,0.023
전기,화성암,V-CUT,425.77,475.74,0.011000000000000001
전기,화성암,V-CUT,439.95,487.19,0.012
전기,화성암,V-CUT,430.54,481.15,0.024
전기,화성암,V-CUT,432.1,484.16,0.013000000000000001
전기,화성암,V-CUT,426.45,480.84,0.044000000000000004
전기,화성암,V-CUT,470.58,514.44,0.028999999999999998
전기,화성암,V-CUT,468.6,513.97,0.028999999999999998
전기,화성암,V-CUT,417.94,477.49,0.027000000000000003
전기,화성암,V-CUT,421.21,480.37,0.051
전기,화성암,V-CUT,440.52,496.51,0.036000000000000004
전기,화성암,V-CUT,433.4,491.92,0.024
전기,화성암,V-CUT,434.81,493.74,0.043
전기,화성암,V-CUT,436.38,495.72,0.012
전기,화성암,V-CUT,424.63,487.16,0.016
전기,화성암,V-CUT,428.58,490.93,0.012
전기,화성암,V-CUT,584.07,605.31,0.013000000000000001
전기,화성암,V-CUT,696.19,718.77,0.006999999999999999
전기,화성암,V-CUT,698.0,720.63,0.028999999999999998
전기,화성암,V-CUT,685.81,712.83,0.035
전기,화성암,V-CUT,758.76,765.8,0.006
전기,화성암,V-CUT,709.27,733.37,0.006999999999999999
전기,화성암,V-CUT,696.54,725.8,0.009000000000000001
전기,화성암,V-CUT,698.31,727.64,0.013000000000000001
전기,화성암,V-CUT,730.8,751.35,0.028999999999999998
전기,화성암,V-CUT,711.83,742.69,0.015
전기,화성암,V-CUT,618.5,681.15,0.017
전기,화성암,V-CUT,35.93,35.55,0.17
전기,화성암,V-CUT,35.93,35.55,0.22
전기,화성암,V-CUT,35.93,35.55,0.254
