뇌관,SR SD,CR SD,최대입자속도
전자,46.96,35.91,0.091
전자,55.9,42.75,0.09699999999999999
전자,53.67,41.04,0.09699999999999999
전자,51.43,39.33,0.051
전자,58.14,44.46,0.011000000000000001
전자,89.44,68.4,0.040999999999999995
전자,87.21,66.69,0.085
전자,84.97,64.98,0.064
전자,91.68,70.11,0.012
전자,109.57,83.79,0.040999999999999995
전자,107.33,82.08,0.054000000000000006
전자,105.1,80.37,0.042
전자,111.8,85.5,0.026000000000000002
전자,114.04,87.21,0.038
전자,111.8,85.5,0.049
전자,109.57,83.79,0.038
전자,116.28,88.92,0.017
전자,111.8,85.5,0.045
전자,109.57,83.79,0.049
전자,107.33,82.08,0.048
전자,114.04,87.21,0.021
전자,134.16,102.6,0.035
전자,131.93,100.89,0.039
전자,129.69,99.18,0.02
전자,136.4,104.31,0.009000000000000001
전자,156.52,119.7,0.02
전자,154.29,117.99,0.02
전자,152.05,116.28,0.016
전자,158.76,121.41,0.004
전자,178.89,136.8,0.018000000000000002
전자,176.65,135.09,0.018000000000000002
전자,174.41,133.38,0.013000000000000001
전자,181.12,138.51,0.002
전자,223.61,171.0,0.013999999999999999
전자,221.37,169.29,0.019
전자,219.13,167.58,0.013000000000000001
전자,225.84,172.71,0.005
전자,50.0,36.84,0.225
전자,47.5,35.0,0.43700000000000006
전자,39.76,30.53,0.47600000000000003
전자,52.5,38.68,0.289
전자,75.0,55.26,0.071
전자,72.5,53.42,0.121
전자,61.84,47.49,0.225
전자,77.5,57.1,0.11900000000000001
전자,87.5,64.47,0.084
전자,85.0,62.63,0.12300000000000001
전자,72.88,55.97,0.171
전자,90.0,66.31,0.09699999999999999
전자,125.0,92.1,0.040999999999999995
전자,122.5,90.26,0.067
전자,106.01,81.41,0.10300000000000001
전자,127.5,93.94,0.057
전자,155.0,114.2,0.027999999999999997
전자,152.5,112.36,0.052000000000000005
전자,132.52,101.76,0.06
전자,157.5,116.05,0.034
전자,187.5,138.15,0.044000000000000004
전자,185.0,136.31,0.062
전자,161.23,123.81,0.084
전자,190.0,139.99,0.049
전자,225.0,165.78,0.013999999999999999
전자,222.5,163.94,0.021
전자,194.36,149.24,0.005
전자,227.5,167.62,0.006
전자,87.5,64.47,0.064
전자,69.4,54.71,0.203
전자,72.88,55.97,0.114
전자,73.48,57.93,0.038
전자,125.0,92.1,0.051
전자,100.02,78.85,0.114
전자,106.01,81.41,0.013000000000000001
전자,104.1,82.07,0.013000000000000001
전자,150.0,110.52,0.021
전자,120.43,94.94,0.044000000000000004
전자,128.1,98.37,0.037000000000000005
전자,124.52,98.16,0.016
전자,175.0,128.94,0.024
전자,140.85,111.03,0.043
전자,150.19,115.33,0.018000000000000002
전자,144.93,114.25,0.013000000000000001
전자,200.0,147.36,0.018000000000000002
전자,161.26,127.12,0.024
전자,172.27,132.28,0.006
전자,165.34,130.34,0.006
전자,225.0,165.78,0.018000000000000002
전자,181.67,143.21,0.013000000000000001
전자,194.36,149.24,0.005
전자,185.75,146.43,0.005
전자,250.0,184.2,0.016
전자,202.08,159.31,0.008
전자,216.45,166.2,0.006
전자,206.17,162.52,0.006
전자,100.0,73.68,0.076
전자,79.61,62.76,0.10300000000000001
전자,71.18,57.74,0.064
전자,83.69,65.98,0.071
전자,125.0,92.1,0.04
전자,100.02,78.85,0.051
전자,89.91,72.94,0.033
전자,104.1,82.07,0.038
전자,150.0,110.52,0.032
전자,120.43,94.94,0.055999999999999994
전자,108.64,88.13,0.028999999999999998
전자,124.52,98.16,0.028999999999999998
전자,175.0,128.94,0.024
전자,140.85,111.03,0.052000000000000005
전자,127.38,103.33,0.040999999999999995
전자,144.93,114.25,0.037000000000000005
전자,200.0,147.36,0.024
전자,161.26,127.12,0.04
전자,146.11,118.53,0.024
전자,165.34,130.34,0.028999999999999998
전자,225.0,165.78,0.018000000000000002
전자,181.67,143.21,0.024
전자,164.84,133.72,0.013999999999999999
전자,185.75,146.43,0.019
전자,255.0,187.89,0.01
전자,206.17,162.52,0.016
전자,187.32,151.96,0.013999999999999999
전자,210.25,165.74,0.013999999999999999
