심발,SR SD,CR SD,최대입자속도
V-CUT,57.42,58.56,0.043
V-CUT,70.44,67.14,0.037000000000000005
V-CUT,60.9,60.9,0.057
V-CUT,60.9,60.9,0.047
V-CUT,49.72,53.2,0.08
V-CUT,76.74,79.65,0.065
V-CUT,99.07,94.44,0.028999999999999998
V-CUT,99.07,94.44,0.027000000000000003
V-CUT,99.19,94.55,0.022000000000000002
V-CUT,85.8,85.8,0.03
V-CUT,85.8,85.8,0.018000000000000002
V-CUT,99.1,102.86,0.062
V-CUT,99.1,102.86,0.036000000000000004
V-CUT,110.8,110.8,0.033
V-CUT,110.8,110.8,0.017
V-CUT,110.8,110.8,0.023
V-CUT,90.47,96.79,0.039
V-CUT,121.37,125.97,0.048
V-CUT,156.69,149.36,0.016
V-CUT,156.69,149.36,0.02
V-CUT,135.7,135.7,0.028999999999999998
V-CUT,135.7,135.7,0.012
V-CUT,110.8,118.54,0.03
V-CUT,139.1,160.96,0.024
V-CUT,128.19,152.19,0.043
V-CUT,128.79,152.9,0.036000000000000004
V-CUT,128.55,152.61,0.04
V-CUT,128.49,152.54,0.03
V-CUT,180.78,214.62,0.018000000000000002
V-CUT,181.02,214.91,0.017
V-CUT,181.85,215.9,0.011000000000000001
V-CUT,180.3,214.05,0.019
V-CUT,181.38,215.33,0.012
V-CUT,37.35,44.34,0.526
V-CUT,38.37,45.55,0.36200000000000004
V-CUT,38.13,45.27,0.419
V-CUT,37.83,44.91,0.48
V-CUT,36.81,43.7,0.33
V-CUT,50.08,59.46,0.369
V-CUT,50.32,59.74,0.27899999999999997
V-CUT,49.78,59.1,0.37799999999999995
V-CUT,49.6,58.89,0.245
V-CUT,49.0,58.18,0.266
V-CUT,129.02,153.18,0.034
V-CUT,130.04,154.39,0.032
V-CUT,128.55,152.61,0.045
V-CUT,132.07,156.8,0.02
V-CUT,131.48,156.09,0.031
V-CUT,148.53,171.86,0.02
V-CUT,148.4,171.71,0.021
V-CUT,139.42,165.52,0.03
V-CUT,139.84,166.02,0.025
V-CUT,138.95,164.96,0.034
V-CUT,92.16,122.82,0.067
V-CUT,91.87,122.42,0.042
V-CUT,91.57,122.03,0.051
V-CUT,91.28,121.63,0.055999999999999994
V-CUT,92.88,123.77,0.046
V-CUT,129.56,172.65,0.013000000000000001
V-CUT,130.79,174.29,0.013999999999999999
V-CUT,130.49,173.89,0.017
V-CUT,130.15,173.44,0.017
V-CUT,131.0,174.57,0.012
V-CUT,37.82,50.4,0.28
V-CUT,37.57,50.06,0.294
V-CUT,37.23,49.61,0.341
V-CUT,36.98,49.27,0.345
V-CUT,36.85,49.1,0.268
V-CUT,93.05,124.0,0.026000000000000002
