화약,SR SD,CR SD,최대입자속도
에멀젼C,149.83,118.11,0.07
에멀젼C,148.6,117.15,0.085
에멀젼C,361.25,266.17,0.016
에멀젼C,357.5,263.41,0.013999999999999999
에멀젼C,313.4,240.66,0.017
에멀젼C,312.52,239.98,0.017
에멀젼C,312.52,239.98,0.02
에멀젼C,108.25,79.76,0.040999999999999995
에멀젼C,110.75,81.6,0.039
에멀젼C,109.25,80.5,0.036000000000000004
에멀젼C,95.63,73.44,0.036000000000000004
에멀젼C,89.01,68.35,0.044000000000000004
에멀젼C,13.5,9.95,1.236
에멀젼C,10.41,8.21,1.795
에멀젼C,13.75,10.13,1.579
에멀젼C,12.37,9.5,1.122
에멀젼C,10.82,8.31,1.3780000000000001
에멀젼C,87.25,64.29,0.057
에멀젼C,95.5,70.37,0.055999999999999994
에멀젼C,76.64,58.85,0.078
에멀젼C,80.17,61.56,0.087
에멀젼C,82.6,63.43,0.07
에멀젼C,123.75,91.18,0.044000000000000004
에멀젼C,120.5,88.79,0.045
에멀젼C,124.0,91.36,0.040999999999999995
에멀젼C,123.25,90.81,0.055999999999999994
에멀젼C,115.51,88.7,0.061
에멀젼C,162.0,119.36,0.055
에멀젼C,164.0,120.84,0.049
에멀젼C,161.5,118.99,0.045
에멀젼C,146.21,112.27,0.044000000000000004
에멀젼C,149.3,114.65,0.04
에멀젼C,139.1,160.96,0.024
에멀젼C,128.19,152.19,0.043
에멀젼C,128.79,152.9,0.036000000000000004
에멀젼C,128.55,152.61,0.04
에멀젼C,128.49,152.54,0.03
에멀젼C,180.78,214.62,0.018000000000000002
에멀젼C,181.02,214.91,0.017
에멀젼C,181.85,215.9,0.011000000000000001
에멀젼C,180.3,214.05,0.019
에멀젼C,181.38,215.33,0.012
에멀젼C,37.35,44.34,0.526
에멀젼C,38.37,45.55,0.36200000000000004
에멀젼C,38.13,45.27,0.419
에멀젼C,37.83,44.91,0.48
에멀젼C,36.81,43.7,0.33
에멀젼C,50.08,59.46,0.369
에멀젼C,50.32,59.74,0.27899999999999997
에멀젼C,49.78,59.1,0.37799999999999995
에멀젼C,49.6,58.89,0.245
에멀젼C,49.0,58.18,0.266
에멀젼C,129.02,153.18,0.034
에멀젼C,130.04,154.39,0.032
에멀젼C,128.55,152.61,0.045
에멀젼C,132.07,156.8,0.02
에멀젼C,131.48,156.09,0.031
에멀젼C,148.53,171.86,0.02
에멀젼C,148.4,171.71,0.021
에멀젼C,139.42,165.52,0.03
에멀젼C,139.84,166.02,0.025
에멀젼C,138.95,164.96,0.034
에멀젼C,92.16,122.82,0.067
에멀젼C,91.87,122.42,0.042
에멀젼C,91.57,122.03,0.051
에멀젼C,91.28,121.63,0.055999999999999994
에멀젼C,92.88,123.77,0.046
에멀젼C,129.56,172.65,0.013000000000000001
에멀젼C,130.79,174.29,0.013999999999999999
에멀젼C,130.49,173.89,0.017
에멀젼C,130.15,173.44,0.017
에멀젼C,131.0,174.57,0.012
에멀젼C,37.82,50.4,0.28
에멀젼C,37.57,50.06,0.294
에멀젼C,37.23,49.61,0.341
에멀젼C,36.98,49.27,0.345
에멀젼C,36.85,49.1,0.268
에멀젼C,93.05,124.0,0.026000000000000002
에멀젼C,94.15,125.46,0.045
에멀젼C,93.52,124.62,0.043
에멀젼C,93.81,125.01,0.04
에멀젼C,93.43,124.51,0.038
에멀젼C,100.4,133.8,0.021
에멀젼C,99.69,132.84,0.032
에멀젼C,99.39,132.45,0.027000000000000003
에멀젼C,100.07,133.35,0.021
에멀젼C,100.32,133.69,0.013999999999999999
에멀젼C,107.97,143.88,0.023
에멀젼C,108.01,143.93,0.019
에멀젼C,107.84,143.71,0.017
에멀젼C,107.21,142.86,0.025
에멀젼C,107.55,143.32,0.022000000000000002
에멀젼C,130.98,159.0,0.04
에멀젼C,130.75,158.73,0.07
에멀젼C,93.01,126.73,0.064
에멀젼C,123.91,153.4,0.042
에멀젼C,125.54,155.42,0.03
에멀젼C,95.82,129.16,0.033
에멀젼C,23.6,32.15,0.226
에멀젼C,32.26,39.93,0.242
에멀젼C,31.2,38.63,0.335
에멀젼C,30.83,38.17,0.32899999999999996
에멀젼C,27.71,35.98,0.335
에멀젼C,26.18,35.57,0.318
에멀젼C,35.3,48.1,0.20199999999999999
에멀젼C,47.38,58.66,0.254
에멀젼C,46.64,57.74,0.369
에멀젼C,36.86,49.69,0.222
에멀젼C,36.25,48.87,0.22899999999999998
에멀젼C,38.5,51.9,0.271
에멀젼C,62.88,77.84,0.136
에멀젼C,62.67,77.58,0.133
에멀젼C,48.91,65.93,0.142
에멀젼C,48.09,64.83,0.141
에멀젼C,63.03,78.04,0.122
에멀젼C,48.49,65.89,0.125
에멀젼C,78.69,97.41,0.10300000000000001
에멀젼C,79.95,98.98,0.08800000000000001
에멀젼C,61.32,82.66,0.092
에멀젼C,66.46,86.9,0.16399999999999998
에멀젼C,61.0,82.9,0.09699999999999999
에멀젼C,60.44,82.14,0.121
에멀젼C,407.01,362.61,0.003
에멀젼C,397.39,354.04,0.004
에멀젼C,412.38,367.39,0.005
에멀젼C,337.4,321.61,0.004
에멀젼C,323.09,307.96,0.006999999999999999
에멀젼C,415.61,363.82,0.006999999999999999
에멀젼C,471.22,419.81,0.004
에멀젼C,472.49,420.94,0.003
에멀젼C,376.43,358.81,0.004
에멀젼C,375.16,357.6,0.004
에멀젼C,409.33,383.38,0.004
에멀젼C,504.16,441.34,0.003
에멀젼C,59.7,56.9,0.105
에멀젼C,72.27,64.38,0.10099999999999999
에멀젼C,63.5,56.57,0.11699999999999999
에멀젼C,51.04,48.65,0.16399999999999998
에멀젼C,50.46,48.1,0.16
에멀젼C,54.77,51.3,0.14400000000000002
에멀젼C,111.58,99.41,0.025
에멀젼C,115.97,103.31,0.024
에멀젼C,112.43,100.16,0.031
에멀젼C,94.8,90.36,0.025
에멀젼C,85.68,81.67,0.031
에멀젼C,96.89,90.74,0.027999999999999997
에멀젼C,136.2,127.56,0.013000000000000001
에멀젼C,136.32,127.68,0.02
에멀젼C,138.51,129.73,0.012
에멀젼C,140.7,131.78,0.011000000000000001
에멀젼C,175.01,153.2,0.009000000000000001
에멀젼C,175.16,153.33,0.008
에멀젼C,198.91,215.11,0.024
에멀젼C,114.57,148.8,0.042
에멀젼C,114.38,148.56,0.047
에멀젼C,178.05,199.85,0.027000000000000003
에멀젼C,125.4,157.99,0.027999999999999997
에멀젼C,100.59,135.6,0.044000000000000004
에멀젼C,99.78,134.5,0.055
에멀젼C,100.96,136.09,0.042
에멀젼C,124.1,156.36,0.034
에멀젼C,122.75,154.66,0.045
에멀젼C,28.3,36.75,0.872
에멀젼C,28.44,36.93,0.768
에멀젼C,28.71,37.29,0.581
에멀젼C,25.64,34.56,0.604
에멀젼C,31.8,40.07,0.462
에멀젼C,81.74,88.41,0.124
에멀젼C,80.95,87.55,0.113
에멀젼C,47.1,61.18,0.20199999999999999
에멀젼C,42.05,56.68,0.23600000000000002
에멀젼C,51.05,64.32,0.158
에멀젼C,102.62,110.98,0.084
에멀젼C,58.93,76.53,0.22
에멀젼C,58.79,76.35,0.33
에멀젼C,59.25,76.95,0.20800000000000002
에멀젼C,59.25,76.95,0.134
에멀젼C,73.12,94.97,0.162
에멀젼C,72.39,94.02,0.162
에멀젼C,65.24,87.94,0.11800000000000001
에멀젼C,64.54,87.01,0.252
에멀젼C,64.87,87.45,0.19699999999999998
에멀젼C,76.3,102.86,0.141
에멀젼C,76.63,103.3,0.133
에멀젼C,75.89,102.3,0.142
에멀젼C,94.65,119.25,0.102
에멀젼C,76.91,103.68,0.121
에멀젼C,171.16,185.1,0.038
에멀젼C,99.18,128.82,0.11800000000000001
에멀젼C,98.36,127.75,0.102
에멀젼C,88.43,119.2,0.135
에멀젼C,107.8,135.82,0.075
에멀젼C,40.25,43.07,0.151
에멀젼C,39.85,42.63,0.172
에멀젼C,50.06,51.06,0.149
에멀젼C,53.17,54.23,0.10800000000000001
에멀젼C,50.53,51.54,0.14400000000000002
에멀젼C,52.23,53.27,0.086
에멀젼C,51.1,52.11,0.125
에멀젼C,52.7,53.75,0.081
에멀젼C,55.36,59.23,0.098
에멀젼C,55.28,59.14,0.098
에멀젼C,54.95,58.79,0.14
에멀젼C,61.28,62.5,0.11699999999999999
에멀젼C,63.07,64.32,0.102
에멀젼C,61.85,63.07,0.11199999999999999
에멀젼C,62.41,63.65,0.10300000000000001
에멀젼C,60.62,61.82,0.128
에멀젼C,74.22,79.41,0.048
에멀젼C,74.71,79.93,0.04
에멀젼C,85.32,87.02,0.048
에멀젼C,82.21,83.84,0.084
에멀젼C,83.44,85.09,0.066
에멀젼C,82.78,84.42,0.068
에멀젼C,84.1,85.77,0.053
에멀젼C,89.19,90.96,0.053
에멀젼C,118.07,126.32,0.019
에멀젼C,118.56,126.84,0.019
에멀젼C,118.47,126.76,0.016
에멀젼C,118.07,126.32,0.025
에멀젼C,135.29,137.98,0.021
에멀젼C,133.97,136.63,0.03
에멀젼C,135.95,138.65,0.019
에멀젼C,134.63,137.3,0.026000000000000002
에멀젼C,109.2,125.0,0.084
에멀젼C,109.47,125.31,0.064
에멀젼C,110.2,126.15,0.051
에멀젼C,122.69,136.24,0.043
에멀젼C,122.62,136.16,0.048
에멀젼C,131.95,148.1,0.022000000000000002
에멀젼C,117.76,137.19,0.022000000000000002
에멀젼C,126.93,145.3,0.023
에멀젼C,125.93,144.16,0.025
에멀젼C,136.93,152.06,0.024
에멀젼C,42.28,47.46,0.322
에멀젼C,36.53,41.82,0.331
에멀젼C,37.07,42.43,0.24100000000000002
에멀젼C,37.07,42.43,0.309
에멀젼C,37.73,43.19,0.33
에멀젼C,63.57,71.35,0.153
에멀젼C,63.99,71.83,0.1
에멀젼C,63.53,72.73,0.091
에멀젼C,57.73,66.09,0.11199999999999999
에멀젼C,59.47,68.07,0.115
에멀젼C,76.6,87.69,0.059000000000000004
에멀젼C,76.6,87.69,0.055999999999999994
에멀젼C,77.13,88.3,0.034
에멀젼C,84.42,93.75,0.042
에멀젼C,84.64,93.99,0.051
에멀젼C,106.0,118.98,0.04
에멀젼C,98.6,112.87,0.039
에멀젼C,97.87,112.03,0.053
에멀젼C,97.87,112.03,0.032
에멀젼C,97.27,111.34,0.033
에멀젼C,127.63,143.26,0.02
에멀젼C,116.93,133.86,0.026000000000000002
에멀젼C,117.0,133.93,0.018000000000000002
에멀젼C,119.87,137.21,0.019
에멀젼C,116.93,133.86,0.023
에멀젼C,176.21,156.99,0.046
에멀젼C,175.65,156.48,0.025
에멀젼C,200.04,169.87,0.026000000000000002
에멀젼C,203.63,172.92,0.024
에멀젼C,204.45,173.62,0.028999999999999998
