암종,SR SD,CR SD,최대입자속도
화강암,101.19,78.92,0.09
화강암,102.0,80.96,0.040999999999999995
화강암,120.0,95.24,0.075
화강암,118.0,93.66,0.094
화강암,122.27,95.36,0.054000000000000006
화강암,122.0,96.83,0.040999999999999995
화강암,160.0,126.99,0.043
화강암,158.0,125.4,0.055999999999999994
화강암,164.44,128.24,0.040999999999999995
화강암,162.0,128.58,0.043
화강암,180.0,142.87,0.038
화강암,178.0,141.28,0.048
화강암,185.52,144.68,0.032
화강암,182.0,144.45,0.027000000000000003
화강암,200.0,158.74,0.035
화강암,198.0,157.15,0.037000000000000005
화강암,206.6,161.13,0.037000000000000005
화강암,202.0,160.33,0.016
화강암,66.0,52.38,0.08900000000000001
화강암,64.0,50.8,0.177
화강암,65.35,50.97,0.076
화강암,68.0,53.97,0.102
화강암,76.0,60.32,0.033
화강암,74.0,58.73,0.083
화강암,75.89,59.19,0.10800000000000001
화강암,78.0,61.91,0.065
화강암,80.0,63.5,0.043
화강암,78.0,61.91,0.095
화강암,80.11,62.48,0.083
화강암,82.0,65.08,0.095
화강암,100.0,79.37,0.028999999999999998
화강암,98.0,77.78,0.06
화강암,101.19,78.92,0.037000000000000005
화강암,102.0,80.96,0.065
화강암,120.0,95.24,0.027000000000000003
화강암,118.0,93.66,0.059000000000000004
화강암,122.27,95.36,0.054000000000000006
화강암,122.0,96.83,0.052000000000000005
화강암,160.0,126.99,0.027000000000000003
화강암,158.0,125.4,0.06
화강암,164.44,128.24,0.040999999999999995
화강암,162.0,128.58,0.054000000000000006
화강암,180.0,142.87,0.019
화강암,178.0,141.28,0.062
화강암,185.52,144.68,0.044000000000000004
화강암,182.0,144.45,0.027000000000000003
화강암,28.86,28.23,0.217
화강암,28.41,27.08,0.191
화강암,34.44,30.14,0.27
화강암,32.1,30.6,0.195
화강암,28.86,28.23,0.111
화강암,28.41,27.08,0.10800000000000001
화강암,34.44,30.14,0.11
화강암,32.1,30.6,0.09699999999999999
화강암,79.32,77.58,0.054000000000000006
화강암,84.76,80.79,0.044000000000000004
화강암,108.67,95.13,0.057
화강암,86.03,82.0,0.049
화강암,107.44,105.07,0.023
화강암,115.47,110.06,0.026000000000000002
화강암,148.62,130.1,0.024
화강암,116.28,110.83,0.023
화강암,118.34,115.74,0.023
화강암,127.36,121.4,0.022000000000000002
화강암,163.98,143.55,0.022000000000000002
화강암,128.06,122.06,0.016
화강암,27.9,27.29,0.616
화강암,21.54,22.21,0.5589999999999999
화강암,21.96,23.5,0.35700000000000004
화강암,16.4,18.09,0.5329999999999999
화강암,27.9,27.29,0.319
화강암,21.54,22.21,0.33
화강암,21.96,23.5,0.23
화강암,16.4,18.09,0.36200000000000004
화강암,39.02,38.16,0.155
화강암,31.77,32.75,0.14400000000000002
화강암,30.29,32.41,0.11
화강암,25.19,27.79,0.099
화강암,62.43,61.06,0.094
화강암,52.31,53.92,0.068
화강암,48.01,51.37,0.025
화강암,42.26,46.61,0.071
화강암,77.72,76.01,0.09699999999999999
화강암,65.64,67.66,0.154
화강암,59.6,63.77,0.099
화강암,53.22,58.7,0.153
화강암,86.06,84.16,0.076
화강암,72.94,75.19,0.091
화강암,65.89,70.5,0.064
화강암,59.26,65.35,0.13
화강암,105.84,103.51,0.21
화강암,89.83,92.6,0.28800000000000003
화강암,81.0,86.66,0.11199999999999999
화강암,73.12,80.65,0.195
화강암,217.34,212.55,0.078
화강암,185.5,191.22,0.042
화강암,166.08,177.69,0.034
화강암,151.38,166.96,0.042
화강암,274.1,268.07,0.059000000000000004
화강암,234.06,241.28,0.039
화강암,209.43,224.07,0.024
화강암,191.11,210.78,0.037000000000000005
화강암,73.16,62.13,0.142
화강암,67.61,57.41,0.21
화강암,70.65,59.31,0.204
화강암,75.93,64.48,0.14400000000000002
화강암,98.47,83.62,0.076
화강암,94.55,80.29,0.13699999999999998
화강암,98.38,82.58,0.105
화강암,100.43,85.28,0.08800000000000001
화강암,135.87,115.38,0.017
화강암,133.09,113.02,0.03
화강암,138.1,115.93,0.023
화강암,137.33,116.62,0.019
화강암,197.76,167.93,0.021
화강암,195.96,166.41,0.034
화강암,203.01,170.42,0.027999999999999997
화강암,198.9,168.9,0.021
화강암,272.06,231.03,0.018000000000000002
화강암,270.91,230.06,0.023
화강암,280.42,235.41,0.022000000000000002
화강암,272.87,231.72,0.012
화강암,143.7,122.03,0.026000000000000002
화강암,140.44,119.26,0.048
화강암,145.87,122.46,0.031
화강암,145.17,123.28,0.034
화강암,198.41,168.49,0.027999999999999997
화강암,195.96,166.41,0.044000000000000004
화강암,203.18,170.56,0.031
화강암,199.55,169.46,0.013000000000000001
화강암,55.11,43.45,0.168
화강암,53.07,41.84,0.17600000000000002
화강암,61.24,48.27,0.19
화강암,71.44,56.32,0.122
화강암,65.32,51.49,0.196
화강암,85.73,67.58,0.184
