K,n,s,# of elem,exp,det,rot,roc,cen
3.857984927,-1.450094661,0.225458313,6,2,3,0,10,0
3.985515348,-1.5106895,0.347260987,145,2,3,0,0,1
2.798514469,-1.276771489,0.202886401,5,2,3,0,0,3
3.852085607,-1.463923748,0.384439472,23,2,3,0,0,6
3.907593318,-1.492973069,0.351552137,173,2,3,0,0,0
4.825704543,-1.737848457,0.089887964,6,2,0,1,8,1
3.454455886,-1.321654441,0.227808389,6,2,0,1,8,3
4.785359688,-1.693231834,0.187127976,12,2,0,1,8,0
4.825704543,-1.737848457,0.089887964,6,2,0,1,0,1
3.454455886,-1.321654441,0.227808389,6,2,0,1,0,3
4.785359688,-1.693231834,0.187127976,12,2,0,1,0,0
5.725492174,-2.110398022,0.268179216,7,2,0,2,3,1
5.725492174,-2.110398022,0.268179216,7,2,0,2,3,0
5.725492174,-2.110398022,0.268179216,7,2,0,2,0,1
5.725492174,-2.110398022,0.268179216,7,2,0,2,0,0
4.651022389,-1.669397796,0.322090028,91,2,0,3,11,1
1.665598572,-1.026486869,0.349438926,14,2,0,3,11,3
3.193651989,-1.365997085,0.396181912,34,2,0,3,11,6
3.669451337,-1.467406798,0.364773579,139,2,0,3,11,0
3.315684427,-1.360256803,0.16657323,8,2,0,3,4,1
3.315684427,-1.360256803,0.16657323,8,2,0,3,4,0
1.065233546,-0.889182443,0.211665326,13,2,0,3,6,1
1.065233546,-0.889182443,0.211665326,13,2,0,3,6,0
3.857984927,-1.450094661,0.225458313,6,2,0,3,10,1
3.857984927,-1.450094661,0.225458313,6,2,0,3,10,0
4.085657764,-1.525251719,0.319655544,146,2,0,3,0,1
1.665598572,-1.026486869,0.349438926,14,2,0,3,0,3
4.098938092,-1.408162736,0.429086765,8,2,0,3,0,4
3.193651989,-1.365997085,0.396181912,34,2,0,3,0,6
3.59906715,-1.427451482,0.35917316,202,2,0,3,0,0
4.651022389,-1.669397796,0.322090028,91,2,0,0,11,1
1.665598572,-1.026486869,0.349438926,14,2,0,0,11,3
3.193651989,-1.365997085,0.396181912,34,2,0,0,11,6
3.669451337,-1.467406798,0.364773579,139,2,0,0,11,0
5.725492174,-2.110398022,0.268179216,7,2,0,0,3,1
5.725492174,-2.110398022,0.268179216,7,2,0,0,3,0
3.315684427,-1.360256803,0.16657323,8,2,0,0,4,1
3.315684427,-1.360256803,0.16657323,8,2,0,0,4,0
1.065233546,-0.889182443,0.211665326,13,2,0,0,6,1
1.065233546,-0.889182443,0.211665326,13,2,0,0,6,0
4.825704543,-1.737848457,0.089887964,6,2,0,0,8,1
3.454455886,-1.321654441,0.227808389,6,2,0,0,8,3
4.785359688,-1.693231834,0.187127976,12,2,0,0,8,0
3.857984927,-1.450094661,0.225458313,6,2,0,0,10,1
3.857984927,-1.450094661,0.225458313,6,2,0,0,10,0
3.946450334,-1.506459885,0.337216379,159,2,0,0,0,1
2.215971821,-1.116185138,0.363843815,20,2,0,0,0,3
4.098938092,-1.408162736,0.429086765,8,2,0,0,0,4
3.193651989,-1.365997085,0.396181912,34,2,0,0,0,6
3.60047225,-1.433430319,0.364439239,221,2,0,0,0,0
-1.099439607,-0.052539459,0.669200696,58,3,2,1,8,3
3.342837319,-1.394525822,0.273196503,22,3,2,1,8,7
2.689884365,-1.095095054,0.587342824,80,3,2,1,8,0
-1.099439607,-0.052539459,0.669200696,58,3,2,1,0,3
3.342837319,-1.394525822,0.273196503,22,3,2,1,0,7
2.689884365,-1.095095054,0.587342824,80,3,2,1,0,0
-2.827330726,0.492041233,0.2371414,10,3,2,2,5,3
-2.827330726,0.492041233,0.2371414,10,3,2,2,5,0
