,,,,,,,,화약,,뇌관,,암석분류,,암석명,,심발공,
,,,,,,,,0,모든 폭약,0,모든 뇌관,0,모든 암석분류,0,모든 암석명,0,모든 심발
,,,,,,,,1,에멀젼C,1,비전기,1,변성암,1,규장암,1,Cylinder-cut
,,,,,,,,2,정밀폭약,2,전기,2,퇴적암,2,사암,2,TBM 선굴착
,,,,,,,,3,함수폭약,3,전자,3,화성암,3,석회암,3,V-CUT
,,,,,,,,,,,,,,4,섬록암,4,라인 드릴링
,,,,,,,,,,,,,,5,셰일,5,분착식 다단발파
,,,,,,,,,,,,,,6,안산암,6,선대구경
,,,,,,,,,,,,,,7,응회암,7,수직구
,,,,,,,,,,,,,,8,편마암,,
,,,,,,,,,,,,,,9,편암,,
,,,,,,,,,,,,,,10,화강반암,,
,,,,,,,,,,,,,,11, 화강암,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,K,n,s,exp,det,rot,roc,cen,,,,,,,,,
0,237.4538395,-1.88660832,0.053510819,모든 화약,비전기,모든 암석분류,사암,모든 심발,,,,,,,,,
0,187.4793218,-1.967753092,0.047315932,모든 화약,비전기,모든 암석분류,석회암,모든 심발,,,,,,,,,
0,280.5565975,-1.997128185,0.035669875,모든 화약,비전기,모든 암석분류,섬록암,모든 심발,,,,,,,,,
0,328.6674681,-1.963466525,0.040811688,모든 화약,비전기,모든 암석분류,셰일,모든 심발,,,,,,,,,
0,228.4728672,-1.736176911,0.049797201,모든 화약,비전기,모든 암석분류,안산암,모든 심발,,,,,,,,,
0,35.34371416,-1.477675311,0.091767314,모든 화약,비전기,모든 암석분류,응회암,모든 심발,,,,,,,,,
0,79.48923833,-1.588322938,0.128076768,모든 화약,비전기,모든 암석분류,편마암,모든 심발,,,,,,,,,
0,130.409772,-1.748584841,0.081926723,모든 화약,비전기,모든 암석분류,편암,모든 심발,,,,,,,,,
0,117.2113422,-1.688835494,0.076051635,모든 화약,비전기,모든 암석분류,화강반암,모든 심발,,,,,,,,,
0,113.365053,-1.680984505,0.139279828,모든 화약,비전기,모든 암석분류,화강암,모든 심발,,,,,,,,,
0,109.0880796,-1.68920714,0.077059895,모든 화약,비전기,모든 암석분류,모든 암종,Cylinder-cut,,,,,,,,,
0,55.77807944,-1.540652781,0.087084066,모든 화약,비전기,변성암,모든 암종,Cylinder-cut,,,,,,,,,
0,169.5011573,-1.859954384,0.07002828,모든 화약,비전기,퇴적암,모든 암종,Cylinder-cut,,,,,,,,,
0,346.7061992,-2.00182896,0.057716468,모든 화약,비전기,화성암,모든 암종,Cylinder-cut,,,,,,,,,
0,109.0880796,-1.68920714,0.077059895,모든 화약,비전기,모든 암석분류,모든 암종,Cylinder-cut,,,,,,,,,
0,277.2607524,-1.797333558,0.057246177,모든 화약,비전기,모든 암석분류,규장암,Cylinder-cut,,,,,,,,,
0,235.3459172,-1.860830325,0.054781076,모든 화약,비전기,모든 암석분류,사암,Cylinder-cut,,,,,,,,,
0,230.9633762,-1.876382209,0.064982846,모든 화약,비전기,모든 암석분류,석회암,Cylinder-cut,,,,,,,,,
0,281.169396,-1.898553754,0.076427739,모든 화약,비전기,모든 암석분류,섬록암,Cylinder-cut,,,,,,,,,
0,266.9699133,-1.760023002,0.086398323,모든 화약,비전기,모든 암석분류,셰일,Cylinder-cut,,,,,,,,,
0,168.6268314,-1.562820013,0.087432665,모든 화약,비전기,모든 암석분류,안산암,Cylinder-cut,,,,,,,,,
0,5.434780373,-1.273880487,0.130365863,모든 화약,비전기,모든 암석분류,응회암,Cylinder-cut,,,,,,,,,
0,32.10773753,-1.409133606,0.096388901,모든 화약,비전기,모든 암석분류,편마암,Cylinder-cut,,,,,,,,,
0,144.5169396,-1.722539448,-0.019749247,모든 화약,비전기,모든 암석분류,편암,Cylinder-cut,,,,,,,,,
0,289.8035392,-1.980802662,-0.082307136,모든 화약,비전기,모든 암석분류,화강반암,Cylinder-cut,,,,,,,,,
0,350.4876826,-2.007077012,0.059650144,모든 화약,비전기,모든 암석분류,화강암,Cylinder-cut,,,,,,,,,
